French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
côté,side
pouvoir,power
vieux,old
matin,morning
tellement,so much
suite,after
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
